Kgen,Dkgen,Commit,Sign,SignCommit,SignCommitProb,CommitProbTotal,SignProbTotal,ProbTries
638652434,629095689,593999430,197968967,745779203,239350993,44806533,180378348,1
608360752,629389116,601990744,198577377,746872717,230608253,44578598,207343031,1
626627212,607980574,602892850,197860962,794424933,239378684,44412277,189336277,1
639454636,647459424,571946383,189698893,794664986,221369007,44171501,189425853,1
625564476,616851377,584694121,188402295,746322521,239008719,91597674,377883220,2
631504352,628841634,580441707,207020436,772614149,239499514,91360482,377552954,2
616740224,617217301,592811671,208030516,804238899,248600516,44097581,189185317,1
621676394,629633622,594005316,179909797,764196113,221374543,91139566,405039754,2
614706296,638151140,610808731,171812446,768940995,212886570,44547915,189356052,1
605156526,629502512,585156399,189387790,794798365,239546707,44180331,206820332,1
621732155,646759144,602053550,189224465,758470725,230370097,44174972,188182784,1
614514599,616709348,593003478,189057445,755420778,230423072,138247913,558549584,3
639115541,647102417,554249623,197677409,812054013,248358338,44485007,197748997,1
629733551,647101283,588390317,189101472,754893668,230578230,44158657,188460329,1
626031875,637578571,602047856,180894430,746308426,212866531,44307121,180069375,1
616356524,625427998,580580990,179789288,728744109,221420972,91356424,359198047,2
607917195,633471003,580424356,189172201,786335601,230518476,91406834,386724566,2
636642600,637997430,602584314,179869258,750865917,221364287,44546830,189024312,1
630072286,625086086,580023634,179805163,745610088,231105644,44141127,189300438,1
627370896,615983297,584524483,179548295,766896955,221354618,44181631,189348414,1
607623435,647250799,562253645,206990942,763850620,248385365,90992414,386779154,2
614300062,606779704,570754855,197269756,763370191,238709979,44614232,197937716,1
613870812,620535634,584211416,207049875,777322523,248691795,43928772,215560015,1
630271921,615730357,571085811,180629198,728868707,213019365,91003639,386276620,2
623224777,616501445,584015599,206994828,764623640,248302050,185161264,772374923,4
616354230,637513175,571019370,207367808,781511510,248471048,90983263,404835684,2
616075795,629254374,588712746,171336733,755533254,212938796,44220026,189370113,1
608004206,633424669,571428553,189375442,763985010,230568582,184662496,747619653,4
616602201,629413718,562287929,171868398,736666342,212789330,90831856,378592250,2
618346065,629415961,588607656,207109971,772719702,249645186,44235650,188061346,1
599436147,646720678,610338181,179682501,758581480,221256165,184833534,746667119,4
608177572,616357207,570352926,189339056,777000667,239610576,91526902,413450577,2
625739707,598941602,572040053,189372762,767916409,230444467,91004910,405988602,2
629891473,629498817,562247404,171451591,737729303,213058141,44070879,171369349,1
613268880,620603287,571148586,179906884,754933496,230618140,91276055,359441618,2
625236358,629046420,579942051,188090661,802562420,238785296,90855858,360493361,2
644708484,633226806,562655801,188363874,772593076,239288084,185038277,727875652,4
621554442,615802307,584461595,171408557,746055474,212736035,90781171,351452282,2
636151569,624855552,562398927,188575654,763754552,239034542,137817327,584038799,3
596569831,607196011,571830107,188115843,762856117,238703991,44141080,206927192,1
629512505,607187905,602174689,198507494,773277290,230609608,44278512,180079942,1
604998767,598663192,554206658,198494748,763509532,240049737,91454928,377445724,2
645008976,598447264,562370504,188476292,772638728,229553731,90831230,387738226,2
647739483,615252342,584088174,197734608,786000224,238822200,278183206,1116368657,6
635304618,630048031,593540429,189293379,776153323,230579928,90934495,395665279,2
638129940,629511775,588685842,207464498,786180919,248575190,184854290,818367718,4
644720046,646308058,571710133,198626148,803440282,239733234,138351906,574967019,3
608061377,625518376,562253607,207101372,764157474,248397646,44238891,197379842,1
639122926,637647944,571474607,206893922,802682474,239093857,44374066,198395173,1
626757087,638265098,593520462,198564829,777369342,239750513,44140790,187968502,1
627452502,647022874,592931454,197330326,763591075,239055092,44225223,197825399,1
607513999,624667970,579771205,188937641,763961629,230627443,91112473,404615981,2
622635829,624737312,572011197,197589820,775712872,238974917,44145502,197558278,1
626752910,624863004,562794766,198134093,794080716,230160340,44149678,179473903,1
634120150,637908215,584288385,171575162,768311697,222149423,184811477,773288517,4
636359168,607210460,561891242,189047737,763778078,230631385,44206411,188908648,1
653304721,620958258,571351256,215441061,781113545,256931291,91481853,378002940,2
615959525,633168029,580045278,198039971,767916624,239014105,44265892,197358243,1
607636178,646956336,584086396,188857674,754766334,239165612,44236696,189044779,1
617070328,598649001,580206827,179542824,736371336,230474185,44487428,197519340,1
635163709,646707689,571264059,206642548,784309990,248093978,90836444,412490905,2
648020307,638246316,593264107,179832242,736850985,221241559,44167854,197630715,1
639219967,646852285,575696786,197440158,785587122,238664775,44267873,206968540,1
634073111,629203891,593295263,197448086,776983301,239103150,184526683,772681766,4
638607743,647140415,554081217,197625948,785154648,230052768,44062408,197745971,1
637948926,616649674,593626039,189182126,754449836,221212202,137846171,575622902,3
638045408,615569267,593603972,198626075,786579828,239845109,44381087,197956480,1
638388141,647164475,580168786,206928996,785445851,238858001,44134186,189260099,1
636429949,655135747,601712941,188229989,776648383,229785585,91359198,404274684,2
647597399,615135918,580725287,179547266,754207627,221219369,184650981,771869152,4
633860924,625170887,584194765,197483192,772585185,239041702,91427849,404688291,2
638817273,629693328,570408252,206582886,772077465,248066239,43958975,188878755,1
639187349,637310148,592993829,171389161,746876500,212716368,44511774,197289835,1
607781936,646387658,580108376,197355049,773414500,248046202,44062143,206607768,1
616530804,646698708,584447689,189410240,786345171,230600288,44214874,197093168,1
608069161,606774774,592620608,188707512,763247916,230117269,90865399,377897011,2
635996471,637337396,592702027,189188265,785790466,239785419,231221489,997253588,5
629751164,638051694,588818587,188783042,786065878,230448463,184442300,790769013,4
647270671,615569235,584666981,197643760,758503465,239334003,44089206,197917921,1
647225033,637971603,562353710,188419626,754236093,229889063,43934848,197733688,1
626957165,646457314,562083388,189401108,763485443,230330411,44314575,179566195,1
617040477,647062768,601806865,197640730,785397272,238982268,90770051,422444896,2
626714017,607225664,580055048,197293803,793963165,248083374,90744280,396057976,2
633890040,624639595,602451485,188457493,763291598,239145018,44031180,188632299,1
629372693,637956821,593687607,189430933,767257396,221518272,137787450,567004010,3
652973175,607504369,593027726,188635544,785667647,230334368,184430093,782423871,4
637685367,616831743,562145892,197529431,794291909,239074426,90940213,404425115,2
655525634,638163862,602052728,206447698,794602085,247977900,44457632,197683955,1
647292251,646519735,562442754,188817978,759461284,230488074,44267114,197742011,1
636385400,616249408,580471983,198538851,777193232,230433774,44204954,197430039,1
622701978,655405949,562260718,188086945,784622047,229556761,43856003,171239325,1
614186479,637214712,584070441,206833653,781151944,248244523,91539778,386709105,2
635394851,598310015,602136041,188185335,766493278,229551373,278368422,1074327923,6
629661137,620680476,601576367,171277190,747330490,213022741,231877164,926595390,5
626056169,625167992,593574259,197607571,771838894,238919427,91065562,386621912,2
647495391,637547866,602009636,197989891,781462514,229697495,91629989,377872316,2
647082275,616482480,601563960,197655683,786259437,239043580,44364268,206587374,1
607800235,616694422,570608065,180175834,767358831,221386437,44466990,197859114,1
639297359,615011593,584292864,189283194,803611849,239934186,138011289,567698996,3
629837600,638368328,583851247,205861340,781392511,256808103,43869463,207100997,1
